VACCINATION_DATE,County,FirstDoseDaily,FirstDoseCumulative,SecondDoseDaily,SecondDoseCumulative,SingleDoseDaily,SingleDoseCumulative,AtLeastOneDose,AtLeastOneDoseCumulative,FullyVaccinated,FullyVaccinatedCumulative
12/14/2020 10:00:00 AM,Anne Arundel,2,2,,0,,0,,2,,0
12/15/2020 10:00:00 AM,Anne Arundel,4,6,,0,,0,,6,,0
12/16/2020 10:00:00 AM,Anne Arundel,56,62,,0,,0,,62,,0
12/17/2020 10:00:00 AM,Anne Arundel,106,168,,0,,0,,168,,0
12/18/2020 10:00:00 AM,Anne Arundel,186,354,1,1,,0,,354,,1
12/19/2020 10:00:00 AM,Anne Arundel,42,396,,1,,0,,396,,1
12/20/2020 10:00:00 AM,Anne Arundel,10,406,,1,,0,,406,,1
12/21/2020 10:00:00 AM,Anne Arundel,287,693,,1,,0,,693,,1
12/22/2020 10:00:00 AM,Anne Arundel,412,1105,4,5,,0,,1105,,5
12/23/2020 10:00:00 AM,Anne Arundel,388,1493,1,6,,0,,1493,,6
12/24/2020 10:00:00 AM,Anne Arundel,242,1735,2,8,,0,,1735,,8
12/25/2020 10:00:00 AM,Anne Arundel,31,1766,1,9,,0,,1766,,9
12/26/2020 10:00:00 AM,Anne Arundel,273,2039,1,10,,0,,2039,,10
12/27/2020 10:00:00 AM,Anne Arundel,97,2136,1,11,,0,,2136,,11
12/28/2020 10:00:00 AM,Anne Arundel,757,2893,6,17,,0,,2893,,17
12/29/2020 10:00:00 AM,Anne Arundel,849,3742,2,19,,0,,3742,,19
12/30/2020 10:00:00 AM,Anne Arundel,869,4611,8,27,,0,,4611,,27
12/31/2020 10:00:00 AM,Anne Arundel,593,5204,3,30,,0,,5204,,30
01/01/2021 10:00:00 AM,Anne Arundel,248,5452,9,39,,0,,5452,,39
01/02/2021 10:00:00 AM,Anne Arundel,155,5607,2,41,,0,,5607,,41
01/03/2021 10:00:00 AM,Anne Arundel,208,5815,,41,,0,,5815,,41
01/04/2021 10:00:00 AM,Anne Arundel,1225,7040,19,60,,0,,7040,,60
01/05/2021 10:00:00 AM,Anne Arundel,921,7961,20,80,,0,,7961,,80
01/06/2021 10:00:00 AM,Anne Arundel,1302,9263,73,153,,0,,9263,,153
01/07/2021 10:00:00 AM,Anne Arundel,1458,10721,121,274,,0,,10721,,274
01/08/2021 10:00:00 AM,Anne Arundel,1690,12411,189,463,,0,,12411,,463
01/09/2021 10:00:00 AM,Anne Arundel,328,12739,56,519,,0,,12739,,519
01/10/2021 10:00:00 AM,Anne Arundel,437,13176,19,538,,0,,13176,,538
01/08/2021 10:00:00 AM,,8000,8000,,0,,0,,8000,,0
