Date created,Year,MARYLAND,Allegany County,Anne Arundel County,Baltimore City,Baltimore County,Calvert County,Caroline County,Carroll County,Cecil County,Charles County,Dorchester County,Frederick County,Garrett County,Harford County,Howard County,Kent County,Montgomery County,Prince George's County,Queen Anne's County,Somerset County,St. Mary's County,Talbot County,Washington County,Wicomico County,Worcester County
2020 August 27,2010,5788645,74965,539284,620915,806656,88988,33052,167213,101165,147159,32688,234218,30141,245237,288627,20213,975602,866419,47806,26464,105761,37879,147721,98972,51500
2020 August 27,2011,5839419,74572,544803,620410,812961,89327,32887,167037,101567,149200,32699,237284,30151,246729,293583,20250,991185,874389,48262,26261,107566,37947,148776,100066,51507
2020 August 27,2012,5886992,73947,550333,622895,818113,89720,32629,167049,101753,150668,32476,239645,29967,248566,299184,19976,1005079,882490,48497,26039,108800,37986,149037,100562,51581
2020 August 27,2013,5923188,73576,555417,622391,822274,90444,32642,167217,101887,152645,32555,241129,29965,248890,303527,19816,1015172,890658,48517,25959,109224,37896,148986,100850,51551
2020 August 27,2014,5957283,73020,559142,623587,824994,90540,32532,167327,102195,154359,32492,243381,29648,249314,306909,19777,1024617,899686,48782,25571,109913,37517,149048,101360,51572
2020 August 27,2015,5985562,72462,563027,622522,827533,90477,32595,167132,102382,155665,32419,245001,29426,249558,311297,19715,1032814,906197,48984,25687,110985,37413,149068,101747,51456
2020 August 27,2016,6003323,72053,567254,616226,828682,91052,32840,167100,102487,157292,32276,246999,29358,250370,315416,19666,1038846,908501,49063,25839,111750,37135,149602,102041,51475
2020 August 27,2017,6023868,71352,571339,610481,828645,91435,33096,167547,102394,159450,32105,250622,29242,251858,319251,19442,1046822,909705,49586,25896,112487,37033,150169,102252,51659
2020 August 27,2018,6035802,70941,575523,602443,827859,92065,33306,168267,102644,161476,31960,254943,29133,253882,322621,19434,1048478,909619,50148,25606,112720,37074,150656,103044,51960
2020 August 27,2019,6045680,70416,579234,593490,827370,92525,33406,168447,102855,163257,31929,259547,29014,255441,325690,19422,1050688,909327,50381,25616,113510,37181,151049,103609,52276
2021 October 29,2020,6054954,70527,579895,594601,828503,92660,33509,168774,103092,163733,31864,260609,29049,255594,325951,19426,1051129,911562,50585,25609,113764,37186,151066,104005,52261
